order_id,product_id,product_name,vendor_name ,revisar espacios,vendor_id,option_id,quantity,order_date,delivery_date,ship_name ,ship_address ,tracking_number,delivery_status,cant. dias entre orden/despacho,hace cuanto fue el despacho
1000,1200,Macbook Pro (2017),Apple ,Apple,5000,1201,2,17/10/2018,20/10/2018,Anna Addison,1325 Candy Rd - San Francisco - CA 96123,ZW60001 ,1,3,1361
1000,1200,Macbook Pro (2017),Apple ,Apple,5000,1202,1,17/10/2018,20/10/2018,Anna Addison,1325 Candy Rd - San Francisco - CA 96123,ZW60001 ,1,3,1361
1000,1300,Macbook Air (2015) ,Apple ,Apple,5000,1301,3,17/10/2018,20/10/2018,Anna Addison,1325 Candy Rd - San Francisco - CA 96123,ZW60001 ,1,3,1361
1000,1300,Macbook Air (2015) ,Apple ,Apple,5000,1302,2,17/10/2018,20/10/2018,Anna Addison,1325 Candy Rd - San Francisco - CA 96123,ZW60001 ,1,3,1361
1001,1400,Iphone X, Microsoft ,Microsoft,5100,1401,1,15/10/2018,18/10/2018,Carol Campbell,1931 Brown St - Gainesville - FL 85321,AB61001 ,0,3,1363
1001,1400,Iphone X, Microsoft ,Microsoft,5100,1402,1,15/10/2018,18/10/2018,Carol Campbell,1931 Brown St - Gainesville - FL 85321,AB61001 ,0,3,1363
1001,1500,Iphone 7, Microsoft ,Microsoft,5100,1501,2,15/10/2018,18/10/2018,Carol Campbell,1931 Brown St - Gainesville - FL 85321,AB61001 ,0,3,1363
1001,1500,Iphone 7, Microsoft ,Microsoft,5100,1502,3,15/10/2018,18/10/2018,Carol Campbell,1931 Brown St - Gainesville - FL 85321,AB61001 ,0,3,1363
1002,1600,Iphone 8, Microsoft ,Microsoft,5100,1601,2,14/10/2018,17/10/2018,Julia Jones ,1622 Seaside St - Seattle - WA 32569 ,CD62001 ,1,3,1364
1002,1600,Iphone 8, Microsoft ,Microsoft,5100,1602,1,14/10/2018,17/10/2018,Julia Jones ,1622 Seaside St - Seattle - WA 32569 ,CD62001 ,1,3,1364
1002,1700,Ipad Air,Lenovo ,Lenovo,5200,1701,1,14/10/2018,17/10/2018,Julia Jones ,1622 Seaside St - Seattle - WA 32569 ,CD62001 ,1,3,1364
